name,ic,ic_std,split1_ic,split2_ic,split3_ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
learning_rate_0.015,0.123410708893821,0.052743228787512184,0.05759839621737278,0.12591412029789742,0.18671961016619276,0.9857285022735596,400,5,0.015,0.8,0.8,10,1.0
reg_lambda_3.5,0.12336539867047662,0.04968333200495724,0.05759839621737278,0.13483217139050147,0.17766562840355557,1.1776938438415527,400,5,0.05,0.8,0.8,10,3.5
min_child_weight_20,0.12309945614725899,0.04962392038559304,0.058044558799636395,0.13283007477890812,0.17842373486323249,0.8244099617004395,400,5,0.05,0.8,0.8,20,1.0
learning_rate_0.025,0.12301465091855579,0.050694626352123774,0.05759839621737278,0.13031701264154563,0.18112854389674898,0.8346869945526123,400,5,0.025,0.8,0.8,10,1.0
min_child_weight_27,0.12296013115614783,0.05276434438902646,0.057035707204852196,0.1256470759451454,0.1861976103184459,0.7785818576812744,400,5,0.05,0.8,0.8,27,1.0
reg_lambda_2.5,0.12281305449894812,0.04935448770485344,0.05759839621737278,0.13387776439727106,0.17696300288220052,0.8148856163024902,400,5,0.05,0.8,0.8,10,2.5
reg_lambda_3.0,0.12207111025596162,0.04919906120556751,0.05759839621737278,0.13165193166831157,0.17696300288220052,0.8124415874481201,400,5,0.05,0.8,0.8,10,3.0
reg_lambda_5.0,0.12176790292788325,0.04916916254099401,0.05806325183331984,0.1294810924267479,0.17775936452358201,0.8357515335083008,400,5,0.05,0.8,0.8,10,5.0
reg_lambda_2.0,0.12107713671881111,0.0493850182160926,0.05759839621737278,0.12759435074590447,0.1780386631931561,0.8887121677398682,400,5,0.05,0.8,0.8,10,2.0
min_child_weight_10,0.12077416889408737,0.04927324431956637,0.05759839621737278,0.1268984494648284,0.17782566100006095,0.7551376819610596,400,5,0.05,0.8,0.8,10,1.0
baseline,0.12077416889408737,0.04927324431956637,0.05759839621737278,0.1268984494648284,0.17782566100006095,0.8877036571502686,400,5,0.05,0.8,0.8,10,1.0
colsample_bytree_0.8,0.12077416889408737,0.04927324431956637,0.05759839621737278,0.1268984494648284,0.17782566100006095,0.785783052444458,400,5,0.05,0.8,0.8,10,1.0
subsample_0.8,0.12077416889408737,0.04927324431956637,0.05759839621737278,0.1268984494648284,0.17782566100006095,0.7638609409332275,400,5,0.05,0.8,0.8,10,1.0
reg_lambda_4.5,0.12013444078144513,0.0489667697117237,0.05806325183331984,0.12458070598743351,0.17775936452358201,0.9345581531524658,400,5,0.05,0.8,0.8,10,4.5
reg_lambda_4.0,0.11969572472709111,0.049103445931155947,0.05759839621737278,0.12382480600899123,0.1776639719549093,0.9204297065734863,400,5,0.05,0.8,0.8,10,4.0
learning_rate_0.035,0.11953388278383513,0.046941449687641766,0.05759839621737278,0.12980751637377974,0.17119573576035285,0.8056378364562988,400,5,0.035,0.8,0.8,10,1.0
max_depth_3,0.1161775856318189,0.0718097328545594,0.023961627778266333,0.12544646254960692,0.19912466656758343,0.6724255084991455,400,3,0.05,0.8,0.8,10,1.0
colsample_bytree_0.75,0.11525713379652079,0.048908407863129305,0.05759839621737278,0.111000991782368,0.17717201338982158,0.7588293552398682,400,5,0.05,0.8,0.75,10,1.0
subsample_0.65,0.1109920735884179,0.054933450163550786,0.04043584557725626,0.11811188620817817,0.17442848897981927,0.6901459693908691,400,5,0.05,0.65,0.8,10,1.0
max_depth_6,0.1107036164541554,0.057934764693798366,0.03197049865832655,0.1304365928516757,0.16970375785246397,0.7756497859954834,400,6,0.05,0.8,0.8,10,1.0
subsample_0.6,0.1094870380275688,0.044027278409622485,0.04943228645410216,0.1252781229938489,0.15375070463475532,0.7796459197998047,400,5,0.05,0.6,0.8,10,1.0
max_depth_4,0.10861204090853988,0.05176763549232943,0.039396856293011914,0.12256108073364391,0.16387818569896379,0.7047672271728516,400,4,0.05,0.8,0.8,10,1.0
colsample_bytree_0.6,0.10043756650652229,0.04192382388288861,0.041355429815803306,0.1256907033587733,0.13426656634499023,0.9565756320953369,400,5,0.05,0.8,0.6,10,1.0
max_depth_7,0.09735105897745122,0.06105984532455988,0.018312160293887693,0.10675246658747692,0.16698855005098906,0.7465875148773193,400,7,0.05,0.8,0.8,10,1.0
